unit_id,unit_type,sector,geo_zone,power_constraint,broadband_constraint,finance_access,skills_gap,policy_risk,trust_constraint,data_access_constraint,vendor_lockin,vendor_financing,peer_learning,localization_language,incentive_alignment,privacy_preserving_analytics,cost_reduction,downtime_reduction,process_quality,lead_time_reduction,revenue_growth,stockout_reduction,spoilage_reduction,notes
P001,interview,Agribusiness,North West,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,"Solar + sensors reduced fuel and rejection"
P002,interview,Retail,South East,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"E-commerce; logistics and broadband issues"
P003,interview,Services,South West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"POS and bookkeeping; revenue up"
P004,interview,Manufacturing,North West,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"CNC pilot; skills and micro-outages"
P005,interview,Manufacturing,South West,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"ERP lite; stock-outs reduced"
P006,interview,Healthcare,South West,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"LIMS; privacy and compliance"
P007,interview,Manufacturing,South East,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Social commerce; fraud mitigation"
P008,interview,Agribusiness,North Central,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Mobile money trust-building"
P009,interview,Tech,South West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"AI forecasting; data access and stockouts"
P010,interview,Retail,North East,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Solar freezer; spoilage down"
P011,interview,Logistics,North West,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"Routing + incentives; fuel per drop down"
P012,interview,Education,South East,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LMS; data cost mitigated via zero-rating"
P013,interview,Agribusiness,North Central,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"IoT with vendor lock-in"
P014,interview,Retail,North West,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Inventory app; microlearning"
P015,interview,Manufacturing,South East,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Energy hybrid; policy risk; cost down"
P016,interview,Hospitality,South West,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Aggregator take rates; capacity smoothing"
P017,interview,Services,North Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WhatsApp invoicing; faster payment"
P018,interview,Agribusiness,South South,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aeration control; power cost timing"
P019,interview,Services,South South,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Asset tracking; cybersecurity compliance"
P020,interview,Retail,South West,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TikTok shop; trust tactics"
FGD001,fgd,Tech+Services,South West,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,"Consensus on privacy-preserving analytics and incentives"
FGD002,fgd,Agribusiness,North West,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,"Hybrid energy, vendor terms, peer demos"
FGD003,fgd,Retail+Ecommerce,South East,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Trust tactics, logistics pricing, cold chain"
FGD004,fgd,Manufacturing+Logistics,South South,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"Skills pairing, policy risk, coverage gaps"
